# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[  19.9471222  -102.46862917   -3.98815561];[0.880368784822385, -1.6090172556752373, 1.1410641605822585, -0.3402818841487302]
[ 1.99465443e+01 -1.02472819e+02  6.99920380e-09];[1.01212894723314, -1.6085884503566281, 1.0121279251757689, -0.33987219676910907]
[  19.94712211 -102.46863002    3.98815558];[1.1410650210206403, -1.6090165993884347, 0.8803678094487052, -0.34028160012470243]
[  19.94788872 -102.46446944    7.97703883];[1.2658421367962356, -1.609786913564336, 0.7466598099461732, -0.34125253609511086]
[  19.94883523 -102.46021968   11.96705501];[1.3855199567964613, -1.6103228702487755, 0.6120459213085032, -0.3424202910937767]
[  19.94995334 -102.45573454   15.95843923];[1.4994326121740742, -1.6097883366082235, 0.4773594212094762, -0.34325773380893665]
[  19.95123842 -102.45087892   19.9512381 ];[1.6072336111051098, -1.6072308793042398, 0.3431678092161738, -0.34316631050196933]
[  15.95884944 -102.45125235   19.95044842];[1.6099613050541197, -1.4995995428947468, 0.3433304093431194, -0.47744182275193875]
[  15.95672857 -102.46762527   15.95672864];[1.5015434081357242, -1.5015443052683863, 0.47766033630005533, -0.47766125380399715]
[  15.95579747 -102.47223276   11.96571903];[1.3874882460687576, -1.5019558215462916, 0.6126694676409608, -0.4770382322421137]
